ISO_code,Cname,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MDV,Maldives,,39,34,37,40,47,50,41,83,88,96,97,98,86,97,96,95,96,98,97,99,98,97,96,97,97,97,97,97,98,97,96,98,99
MMR,Myanmar,,,,,,,5,17,32,50,68,67,68,71,77,82,86,88,89,86,84,73,77,80,86,84,78,81,82,87,88,88,84,86
NPL,Nepal,,2,2,11,24,34,37,37,58,57,57,57,58,58,58,56,65,73,67,81,71,71,71,75,73,74,85,81,79,90,86,88,86,88
LKA,Sri Lanka,,,,,3,20,45,60,68,76,80,79,82,86,84,87,89,94,94,95,99,99,99,99,96,99,99,98,98,97,99,99,99,99
THA,Thailand,,,,,5,26,45,52,63,66,80,79,74,80,86,91,92,93,96,96,94,94,94,96,96,96,96,96,98,98,98,98,98,99
TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,56,55,55,48,61,63,73,70,66,62,73,70
AUS,Australia,,,,68,68,68,68,68,77,85,86,86,86,86,86,87,87,85,82,88,91,92,94,94,94,94,94,94,94,94,94,94,94,94
BRN,Brunei Darussalam,73,80,88,94,90,98,99,99,99,99,99,96,92,99,99,99,99,98,99,94,99,99,99,98,99,98,97,97,99,99,94,91,99,99
KHM,Cambodia,,,,,27,29,54,53,39,39,34,39,33,36,50,62,56,50,54,63,65,59,52,65,80,79,78,79,89,92,93,93,93,90
CHN,China,,,,78,84,88,63,77,95,95,98,92,87,81,75,80,84,83,83,84,84,85,85,85,86,86,93,94,97,99,99,99,99,99
COK,Cook Islands,,,,68,65,76,70,84,92,99,67,94,87,99,72,96,72,88,97,84,76,83,95,99,99,99,99,98,95,78,99,89,97,97
FJI,Fiji,32,40,2,25,22,57,61,64,69,65,84,93,91,96,96,94,94,75,77,79,81,83,85,86,88,90,92,94,94,94,94,94,94,94
JPN,Japan,69,68,66,70,73,73,74,75,76,77,73,71,69,68,81,93,94,94,95,95,96,98,98,98,98,98,97,96,95,94,94,94,96,95
KIR,Kiribati,,,,24,8,4,9,14,54,63,75,62,77,89,70,47,64,82,77,62,80,76,88,72,56,85,61,93,72,82,89,90,91,91
MYS,Malaysia,,,,11,23,20,35,68,61,61,70,80,82,81,95,97,97,98,96,97,96,95,94,93,95,96,95,95,95,95,95,95,95,95
FSM,Micronesia (Federated States of),,,,,,,,69,84,94,81,76,78,80,83,90,82,74,82,79,85,84,88,91,85,96,83,92,86,86,80,92,91,91
MNG,Mongolia,17,12,6,1,20,18,11,61,70,86,92,82,84,84,80,85,89,91,93,93,92,95,98,98,99,97,99,98,97,94,97,98,99,97
NRU,Nauru,,,,,,,,,,,,,,,,,,99,90,49,8,95,40,53,67,80,99,99,99,99,99,99,96,96
NZL,New Zealand,80,77,74,71,67,64,60,67,75,83,90,82,82,85,87,84,92,99,81,83,85,85,84,84,83,82,82,79,86,89,91,93,92,92
NIU,Niue,77,71,65,58,52,52,73,94,94,99,99,99,99,99,99,34,99,99,99,99,99,99,99,85,99,99,99,98,99,99,99,99,99,99
PLW,Palau,,,,,,,98,98,99,98,98,98,94,32,41,99,99,83,74,96,83,91,99,99,99,98,98,91,97,75,39,85,91,99
PNG,Papua New Guinea,,,,1,26,33,39,37,46,52,67,69,70,28,36,42,24,50,61,62,62,56,61,63,60,63,65,58,54,55,55,60,67,70
WSM,Samoa,,,59,78,83,81,91,78,75,82,89,77,90,92,94,96,96,99,99,91,93,92,99,62,25,57,54,63,45,49,61,67,85,99
SGP,Singapore,47,57,78,88,85,75,85,94,87,81,84,92,89,87,95,97,97,98,96,97,96,95,94,93,95,96,93,95,95,95,95,95,95,95
SLB,Solomon Islands,,,,,,,31,58,69,92,70,76,70,64,60,68,90,68,64,96,85,74,67,70,72,70,84,78,60,60,68,73,85,76
TON,Tonga,,9,44,67,43,81,37,88,81,84,86,90,87,87,86,94,95,97,96,97,95,93,90,99,99,99,99,99,99,99,99,99,95,99
TUV,Tuvalu,,,,65,71,92,65,65,90,79,95,63,66,64,79,94,94,99,96,94,81,99,99,95,97,62,84,95,93,90,85,98,98,96
VUT,Vanuatu,,,20,23,18,26,22,34,46,50,66,63,66,74,53,60,61,65,64,62,61,59,58,56,55,53,52,52,52,52,52,52,52,52
VNM,Viet Nam,,,1,3,4,19,39,36,56,76,88,88,90,93,96,95,96,96,96,94,97,98,96,93,97,95,93,83,92,97,98,96,96,98
